"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00123777","HARTFORD CITY 4 ESE, IN US","40.4355","-85.2891","281.6","2015-10",,,,,"1.4",",7","6",",7","1",",7","0",",7","0",",7","0",",7","2",",7","0",",7","12",",7","0",",7","-2.2",",7,18,","0",",,7,31,+","0.0",",,7,31,+","31.2",",,7,28,","26.7",",7,09,",,,"197.5","7",,,,,,,,,"169.5",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.1",",,,7","0",",,,7","12.9",",7","18.6",",,,7","7.3",",,,7",,,,,,,,,,
"USC00123418","GOSHEN 3 SW, IN US","41.5575","-85.8825","266.7","2015-10",,,"417.7","7","0.0",",7","11",",7","3",",7","0",",7","0",",7","0",",7","1",",7","0",",7","9",",7","0",",7","-1.7",",7,18,","0",",,7,31,+","0.0",",,7,31,+","22.4",",,7,28,","26.1",",7,08,",,,"221.0","7",,,,,,,,,"181.5",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35.4",",,,7","0",",,,7","12.5",",7","17.8",",,,7","7.1",",,,7",,,,,,,,,,
"US1INLK0026","CROWN POINT 1.1 N, IN US","41.439267","-87.3542","217.0","2015-10",,,,,,,"5",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"11.2",",,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.2",",,,N",,,,,,,,,,,,,,,,,,
"US1INMG0018","MOORESVILLE 3.8 NE, IN US","39.621239","-86.345954","228.0","2015-10",,,,,,,"6",",N","4",",N",,,,,,,,,,,,,,,,,,,,,"32.8",",,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45.8",",,,N",,,,,,,,,,,,,,,,,,
"US1INLK0024","CROWN POINT 2.0 WSW, IN US","41.408917","-87.389939","230.1","2015-10",,,,,,,"6",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"14.7",",,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.2",",,,N",,,,,,,,,,,,,,,,,,
"USC00123547","GREENSBURG, IN US","39.3475","-85.4891","285.6","2015-10",,,,,,,"7","1,7","7","1,7","0",",7","0","1,7",,,,,"0","3,7","11","3,7","0","3,7",,,"0",",,7,31,+","0.0","1,,7,31,+","48.3","1,,7,27,","27.8","3,7,22,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104.9","1,,,7","0","1,,,7",,,"19.4","3,,,7",,,,,,,,,,,,
"US1INMG0011","BROOKLYN 0.5 ENE, IN US","39.5446","-86.3629","209.1","2015-10",,,,,,,"6",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"38.6",",,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63.7",",,,N",,,,,,,,,,,,,,,,,,
"US1INMG0012","STILESVILLE 3.6 S, IN US","39.586534","-86.633268","242.0","2015-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.9","2,a,,N",,,,,,,,,,,,,,,,,,
"US1INMG0014","GOSPORT 4.2 E, IN US","39.350765","-86.587055","220.1","2015-10",,,,,,,"7",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"32.0",",,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51.0",",,,N",,,,,,,,,,,,,,,,,,
"US1INMR0088","INDIANAPOLIS 8.7 S, IN US","39.64374","-86.185581","212.4","2015-10",,,,,,,"6","3,N","5","3,N",,,,,,,,,,,,,,,,,,,,,"37.3","3,,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58.1","3,,,N",,,,,,,,,,,,,,,,,,
"US1INJS0031","DE MOTTE 5.9 S, IN US","41.114942","-87.199703","207.0","2015-10",,,,,,,"6",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"17.8",",,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.7",",,,N",,,,,,,,,,,,,,,,,,
"US1INDL0025","K9CJC SPRINGPORT 3.5 NE, IN US","40.0851","-85.3488","315.8","2015-10",,,,,,,"4","3,N","3","3,N",,,,,,,,,,,,,,,,,,,,,"28.7","3,,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48.0","3,,,N",,,,,,,,,,,,,,,,,,
"US1INBW0014","WD9HTN COLUMBUS 2.2 NE, IN US","39.22946","-85.87926","246.0","2015-10",,,,,,,"9",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"78.7",",,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111.6",",,,N",,,,,,,,,,,,,,,,,,
"US1INBW0016","COLUMBUS 1.9 NNE, IN US","39.2352","-85.8992","196.0","2015-10",,,,,,,"8","3,N","5","3,N",,,,,,,,,,,,,,,,,,,,,"71.9","3,,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105.1","3,,,N",,,,,,,,,,,,,,,,,,
"US1INDL0026","K9TKO SPRINGPORT 3.6 NE, IN US","40.0844","-85.3447","317.6","2015-10",,,,,,,"4","5,N","2","5,N",,,,,,,,,,,,,,,,,,,,,"36.1","5,,N,28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43.2","5,,,N",,,,,,,,,,,,,,,,,,
"USC00129138","WABASH, IN US","40.7917","-85.8258","202.7","2015-10",,,,,"2.6","5,7",,,,,"0","4,7","0","4,7","0","5,7","1","5,7","0","5,7","11","5,7","0","5,7","-2.2","5,7,18,","0","4,,7,31,+","0.0","4,,7,31,+",,,"26.7","5,7,22,+",,,"155.7","7",,,,,,,,,"129.2","5,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39.5",",a,,7","0","4,,,7","13.5","5,7","19.8","5,,,7","7.2","5,,,7",,,,,,,,,,
"USC00120200","ANGOLA, IN US","41.6639","-85.0183","310.9","2015-10",,,"272.6","7","0.0",",7","6",",7","4",",7","0",",7","0",",7","0",",7","2",",7","0",",7","8",",7","0",",7","-2.8",",7,19,+","0",",,7,31,+","0.0",",,7,31,+","22.4",",,7,28,","25.0",",7,22,",,,"289.9","7",,,,,,,,,"217.7",",7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.9",",,,7","0",",,,7","11.3",",7","17.5",",,,7","5.1",",,,7",,,,,,,,,,
