"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"US1INPT0008","VALPARAISO 0.6 SE, IN US","41.470792","-87.043314","251.2","2012-10",,,,,,,"14",",N","9",",N",,,,,,,,,,,,,,,,,,,,,"25.9",",,N,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96.5",",,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INNB0023","COLUMBIA CITY 8.4 N, IN US","41.280030165316","-85.472929477672","280.4","2012-10",,,,,,,"17",",N","8",",N",,,,,,,,,,,,,,,,,,,,,"22.6",",,N,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72.4",",,,N",,,,,,,,,,,,,,,,,,,,,,
"USW00053866","SHELBYVILLE MUNICIPAL AIRPORT, IN US","39.58545","-85.79982","244.4","2012-10","4.6",",W","766.3","W","5.8",",W","10",",W","7",",W","0",",W","0",",W","0",",W","2",",W","0",",W","9",",W","0",",W","-1.6",",W,08,","0",",,W,31,+","0.0",",,W,31,+","18.5",",,W,05,","26.1",",W,24,",,,"255.8","W",,,,,,,,,"205.7",",W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61.2",",,,W",,,"0",",,,W","11.9",",W","17.4",",,,W","6.4",",,,W",,,"210",",W","210",",W",,,"17.0",",W","23.7",",W"
"US1INHN0011","MCCORDSVILLE 2.6 NE, IN US","39.937","-85.9","259.1","2012-10",,,,,,,"12",",N","8",",N",,,,,,,,,,,,,,,,,,,,,"35.3",",,N,06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146.9",",,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INNB0021","CROMWELL 2.7 SW, IN US","41.377477","-85.652456","268.8","2012-10",,,,,,,"15",",N","9",",N",,,"0",",N",,,,,,,,,,,,,,,"0.0",",T,N,31,+","27.9",",,N,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79.7",",,,N",,,"0",",T,,N",,,,,,,,,,,,,,,,,,
"US1INPT0128","VALPARAISO 1.0 NE, IN US","41.4868748","-87.0363092","249.6","2012-10",,,,,,,"13","4,N","8","4,N",,,,,,,,,,,,,,,,,,,,,"21.1","4,,N,14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94.6","1,a,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INHN0012","GREENFIELD 0.4 SW, IN US","39.7879","-85.7752","274.9","2012-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104.0","4,a,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INSN0002","HUDSON 4.1 NNW, IN US","41.591868","-85.101163","321.9","2012-10",,,,,,,"17",",N","11",",N",,,,,,,,,,,,,,,,,,,,,"15.7",",,N,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72.9",",,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INSN0003","HUDSON 4.6 N, IN US","41.5997","-85.089524","301.1","2012-10",,,,,,,"19",",N","13",",N",,,,,,,,,,,,,,,,,,,,,"16.0",",,N,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86.0",",,,N",,,,,,,,,,,,,,,,,,,,,,
"US1INPT0126","HEBRON 0.6 NE, IN US","41.3276","-87.193487","213.1","2012-10",,,,,,,"14","4,N","8","4,N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,31,+","21.1","4,,N,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87.4",",a,,N",,,"0","4,,,N",,,,,,,,,,,,,,,,,,
