,Year,County,DP01_4,DP01_5,DP01_6,DP01_7,DP01_8,DP01_9,DP01_10,DP10_4,DP10_5,DP10_6,DP10_7,DP10_8,DP10_9,DP10_10,DT00_4,DT00_5,DT00_6,DT00_7,DT00_8,DT00_9,DT00_10,DT32_4,DT32_5,DT32_6,DT32_7,DT32_8,DT32_9,DT32_10,DX32_4,DX32_5,DX32_6,DX32_7,DX32_8,DX32_9,DX32_10,DX90_4,DX90_5,DX90_6,DX90_7,DX90_8,DX90_9,DX90_10,EMSD_4,EMSD_5,EMSD_6,EMSD_7,EMSD_8,EMSD_9,EMSD_10,EMXP_4,EMXP_5,EMXP_6,EMXP_7,EMXP_8,EMXP_9,EMXP_10,EMXT_4,EMXT_5,EMXT_6,EMXT_7,EMXT_8,EMXT_9,EMXT_10,PRCP_4,PRCP_5,PRCP_6,PRCP_7,PRCP_8,PRCP_9,PRCP_10,SNOW_4,SNOW_5,SNOW_6,SNOW_7,SNOW_8,SNOW_9,SNOW_10,TAVG_4,TAVG_5,TAVG_6,TAVG_7,TAVG_8,TAVG_9,TAVG_10,Value
20,2002,GIBSON,11.0,14.0,8.0,6.0,5.0,7.0,12.0,9.0,9.0,4.0,4.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,22.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1,108.0,36.6,38.1,27.9,101.6,45.2,29.4,32.2,35.0,37.2,37.2,36.1,30.6,199.8,338.9,61.2,54.9,38.2,192.3,112.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,17.2,25.2,27.3,26.5,23.2,12.6,110.1
21,2002,GRANT,11.5,13.2,6.0,6.0,9.0,5.0,5.0,7.5,9.0,3.0,5.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,34.8,24.1,17.8,17.3,50.8,17.8,30.0,31.7,33.3,35.0,34.4,33.9,28.9,100.4375,122.94583333333333,45.7,55.4,108.9,91.7,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,14.0,22.3,24.9,23.2,20.1,10.1,109.6
22,2002,GREENE,9.0,10.0,11.0,5.0,3.0,5.0,10.0,7.0,10.0,9.0,5.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,72.9,39.6,28.7,20.8,64.5,34.3,27.937871485943774,31.11769103383014,33.59383756464504,33.77224976392824,33.50554997608799,32.618047078306134,28.586175500588933,144.5,279.0,117.7,54.1,40.9,209.3,111.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.240054489457476,17.020451735615787,22.051781568348733,23.54112458392772,22.79783490224475,19.443138170498084,12.600347919655666,106.3
23,2002,HAMILTON,12.0,15.0,11.0,5.666666666666667,7.666666666666667,7.0,8.666666666666666,7.666666666666667,10.333333333333334,8.333333333333334,3.333333333333333,4.666666666666667,3.333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.06666666666666,77.63333333333333,52.66666666666666,22.83333333333333,49.6,48.73333333333333,18.1,30.6,28.3,33.9,33.77224976392824,35.6,33.9,30.0,130.83333333333334,204.26666666666665,123.2,50.13333333333333,93.7,96.96666666666664,56.06666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,14.4,22.9,23.54112458392772,24.2,20.6,11.6,126.7
24,2002,HANCOCK,15.0,16.0,14.0,6.0,8.0,7.0,9.0,9.0,9.0,9.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.7,71.4,69.6,111.0,23.1,53.6,25.4,30.6,27.2,32.8,33.9,34.4,34.4,29.4,159.7,172.6,189.1,139.0,48.8,102.8,73.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,14.6,22.7,24.6,23.9,20.8,11.3,117.0
25,2002,HARRISON,10.5,10.5,6.5,4.5,6.5,8.0,10.0,9.0,9.5,4.0,3.0,3.5,5.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.75,68.45,39.900000000000006,21.950000000000003,35.65,140.10000000000002,25.55,27.937871485943774,31.11769103383014,33.59383756464504,33.77224976392824,33.50554997608799,32.618047078306134,28.586175500588933,139.75,185.45,61.5,45.900000000000006,52.4,193.6,92.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.240054489457476,17.020451735615787,22.051781568348733,23.54112458392772,22.79783490224475,19.443138170498084,12.600347919655666,66.8
26,2002,HENDRICKS,11.0,14.0,9.0,6.5,7.5,6.5,7.5,7.0,11.0,7.5,5.0,5.5,3.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.25,64.0,23.35,41.55,36.2,48.5,19.45,28.3,27.8,32.8,33.9,33.3,35.6,29.4,142.5,185.65,95.3,83.5,97.9,107.65,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,14.6,22.3,24.4,23.4,20.0,11.5,147.0
27,2002,HENRY,12.5,13.5,11.5,5.0,8.5,7.5,6.0,10.0,10.5,8.0,3.5,5.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,41.8,65.55,40.8,27.05,28.2,34.3,30.0,28.3,26.1,32.2,32.2,33.3,33.3,28.586175500588933,161.3,171.4,108.8,48.0,66.7,79.1,78.4,19.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,12.4,21.1,22.9,22.4,19.5,12.600347919655666,113.1
28,2002,HOWARD,11.333333333333334,15.333333333333334,9.0,8.666666666666666,8.333333333333334,6.0,7.333333333333333,6.0,12.666666666666666,5.333333333333333,6.333333333333333,6.0,3.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.93333333333334,22.266666666666666,45.56666666666666,45.5,32.03333333333333,33.2,12.8,30.3,28.3,33.349999999999994,35.0,33.3,33.3,30.0,132.6,95.0,83.16666666666667,96.36666666666667,99.4,67.56666666666666,45.93333333333334,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,10.85,14.1,22.45,24.75,23.05,20.0,10.75,141.5
29,2002,HUNTINGTON,12.0,14.0,10.0,7.0,9.0,6.0,6.0,7.0,11.0,4.0,5.0,7.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,27.9,35.6,26.4,20.3,32.3,17.3,29.4,28.3,33.9,35.6,35.0,33.3,28.9,85.8,116.3,50.6,59.1,67.0,81.8,53.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,13.5,21.9,24.7,23.0,19.5,10.2,90.8
