,County,AWS,Representative_Non-Irrigated_Yield,cec7_l,ksat_l,awc_l,ph1to1h2o_l,ec_l,ec_r,ec_h,"soil_type_Coarse-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Coarse-loamy, mixed, superactive, mesic Mollic Hapludalfs","soil_type_Euic, mesic Typic Haplosaprists","soil_type_Fine, illitic, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aquultic Hapludalfs","soil_type_Fine, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Argiudolls","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, superactive, mesic Aquic Argiudolls","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Fragiudalfs","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-silty, mixed, active, mesic Ultic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Typic Argiaquolls","soil_type_Fine-silty, mixed, superactive, mesic Typic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","soil_type_Loamy, mixed, active, mesic Arenic Hapludalfs","soil_type_Mixed, mesic Aquic Udipsamments","soil_type_Mixed, mesic Typic Udipsamments","soil_type_Sandy, mixed, mesic Typic Endoaquolls",Drainage_Somewhat poorly drained,Drainage_Very poorly drained,Drainage_Well drained,texture_primary_Loam,texture_primary_Loamy sand,texture_primary_Sand,texture_primary_Sandy loam,texture_primary_Silt loam,texture_primary_Silty clay loam,texture_secondary_L,texture_secondary_LS,texture_secondary_S,texture_secondary_SICL,texture_secondary_SIL,rvindicator_tex_Yes,RoadwayRelevanceSoilGrade_A-4,RoadwayRelevanceSoilGrade_A-6,HumanErosion_Sheet erosion,HumanErosion_Wind erosion,MoisterClass_Udic,Drainage_class_Somewhat poorly drained,Drainage_class_Very poorly drained,Drainage_class_Well drained,Value
42,WHITE,-1.0613096231824295,0.2031067641797568,0.3766321587881369,0.8877765541836052,-0.9228270975036252,0.0624613311437031,0.0,0.1771504357711224,-0.8285973434096644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,171.23
43,OWEN,-0.0420922826152858,0.5930000325242225,-0.4932380713595982,-0.4543102626123161,0.1967652966583695,-0.8163259768072921,0.0,0.0,-1.0748522478629494,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,146.22105263157894
44,PARKE,0.3259716051392518,0.0915631091372414,-0.0678228268267887,1.084580470654028,0.6763955110175206,0.0108485714023125,0.0,0.0,0.2105614886873578,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,161.11052631578946
45,ORANGE,0.2575476233254463,2.184185993000127,-0.2432428899258128,-0.6993143424372259,1.0238283484111266,-1.3229254126953722,0.0,0.0,-1.6894115887980343,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,158.04500000000002
46,SULLIVAN,-0.973536705284709,0.7745829534124437,-0.3807908517646496,0.161475319420865,1.3044942982744585,-0.4534601357897513,0.0,5.808575846264298,-0.0635577335937771,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,168.1315789473684
47,VERMILLION,0.6272914634178569,0.0860700280970228,-0.0545976691339847,0.8126377918660264,0.6263456099717302,0.0649069305423347,0.0,2.851843038850917,-0.0156428108771568,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,170.4952380952381
48,MORGAN,0.3667478484159641,0.8644502523545939,-0.2273694891187677,0.1195879648764945,0.0106719206524143,-0.0604295985986219,0.0,0.0,1.0193104194884612,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,156.565
49,PULASKI,1.8312822910693496,-0.1555098869903454,1.243449348163573,1.6631997475546183,-0.0505011759735926,0.1248742076513359,0.0,1.448003939904585,-1.3258504555429225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,154.055
50,MONTGOMERY,1.6094847426295975,0.0684348967996441,-0.0970216775057317,0.3975525906453704,0.1758443723286308,0.1812245860732034,0.0,0.0,0.6550163812306938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,177.83684210526317
51,VANDERBURGH,0.8032546055524239,-0.180839764618392,-0.2295444948684364,-0.7016528485144015,2.1491075937720527,-0.7145837390019977,0.0,5.048787419477082,0.6090146576151576,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,161.77142857142857
52,SWITZERLAND,-0.1598871868578268,4.574989821360277,0.0762650529782071,-0.7216929978344186,0.1119214351549664,-0.7443549624595674,0.0,0.0,0.106193290007112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,147.03571428571428
53,MARTIN,-0.5009714275926521,1.5532106846330302,-0.5581869348963665,-0.5977425170721136,0.8265941962911564,-0.9328785612504672,0.0,0.0,-1.3610761389874064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,154.33888888888887
54,RUSH,0.0503096810607357,-0.1337736378870005,0.1778007913212496,0.1385620069871368,-0.8741447601471525,0.2876156113216267,0.0,0.0,1.970550438735645,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,168.32380952380953
55,RIPLEY,0.5094644152628585,1.6419907009027792,-0.1718994033966401,-0.7709319933908676,0.4599873901207931,-0.8769969350411659,0.0,0.0,0.3944677104392906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,149.04500000000002
56,FOUNTAIN,0.6846836154307061,-0.0191382700676646,-0.3591039555911388,0.6966325938249442,0.2961502373384517,0.1741708227225801,0.0,0.0,-0.5612184764549404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,170.92222222222222
57,LAKE,-0.9197503189027776,-0.1818237846500572,2.978862892801414,0.345781712500247,1.2386964291310802,0.1236530149039304,0.0,2.7647638620921087,-0.1284683128495229,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,159.02222222222224
58,JASPER,-1.270918139671611,-0.0338695064658863,2.7559911612595296,1.0717496547652985,2.4075371602888067,0.2028756286720587,0.0,4.876480940934076,-0.5571523707400083,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,161.94736842105263
59,LAGRANGE,0.3163769002877327,-0.3075434687921727,1.988749094373556,0.9577678964401932,1.261602284215417,-0.0108485714023125,0.0,5.578699775128359,-0.226319180020178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,135.38571428571427
60,DAVIESS,-0.7846843890780602,0.8915306539474742,-0.3913880596909996,-0.4480574238941068,0.9180582596065912,-0.8253585230189349,0.0,3.885400313971744,0.0155394758317881,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,169.16666666666666
61,DEARBORN,-0.5608322391355298,1.8163666996158387,0.1931499417409561,-0.5872078065281423,-0.0325597859743194,-0.5850207837421839,0.0,0.0,-0.3617433415707107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,141.0047619047619
62,BOONE,1.3198516305386192,-0.3907323234283873,-0.3107067352376345,0.3608431458410834,-0.403383776991185,0.2645065699572427,0.0,0.0,0.4705209171007323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,172.0047619047619
63,JAY,0.5615354054927206,-0.0669660149402914,1.0237006343833803,-0.4982069602723254,-1.164412446140767,0.3279413860596962,0.0,0.0,0.2557164861642415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,147.03684210526316
64,JOHNSON,0.6740083358643766,0.2610626951225059,-0.344815475338953,0.1532195231504125,-0.4330903563746819,0.1404864260934674,0.0,0.0,0.843347904776721,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,152.31
65,FLOYD,1.0446534260663805,4.877570916493504,-0.4111920999320204,-0.710315224691877,1.029628482951972,-0.9823733845615796,0.0,0.0,-1.5394039130737656,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,136.64000000000001
66,CASS,-0.8735452988828464,-0.0123523007290808,0.6875097288295344,0.4942915795416093,-0.6616302137742089,0.1348095687242647,0.0,0.4251610458506985,1.0012153243494335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,167.90526315789472
67,CLAY,-0.8478759424625381,0.9637839943399934,-0.635020876280678,-0.4170820565605481,0.6890995939717093,-0.8105243418577546,0.0,0.0,0.3225912673626056,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,161.29999999999998
68,CLARK,0.2613929807365862,6.36076486521507,-0.2835267705919224,-0.7462693322692483,0.4223355802737092,-1.0537976239459397,0.0,0.0,-1.3674697925121084,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,143.6904761904762
69,ALLEN,-0.2478726422240563,-0.015641691148969,0.7998039971690297,-0.215089150096991,-1.230355109082117,0.1944792448841753,0.0,0.752889352027282,0.526734797461114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,159.35714285714286
70,DELAWARE,0.2315541461828805,-0.1936800345189286,0.4402878331817834,0.2927275984099209,-1.0393293562413857,0.3944532701591429,0.0,0.0,-1.0194765454336938,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,158.54285714285714
71,HANCOCK,1.2905755089423907,-0.1002666938920457,-0.2300174030236451,0.1281108330217635,-0.3830145896455881,0.2913751677028665,0.0,0.0,1.5720844166264498,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,159.27142857142857
72,HARRISON,0.1422455110194835,0.5170027034111218,-0.1218828319452041,-0.6730562395348939,0.4648952520717203,-0.9821123656493156,0.0,0.0,-1.6954497993946651,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,143.48095238095237
73,MADISON,0.9929786326996908,-0.0558645776191522,0.127888074808632,0.4464546947872542,-0.8546488125845937,0.2948970980218843,0.0,0.0,1.173609057125227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,168.46190476190475
74,HAMILTON,1.3757060585262575,-0.1362896569763504,-0.0765756541975314,0.5263255716526644,-0.6561397885769483,0.3114484241181283,0.0,0.0,1.5180311811521876,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,162.5857142857143
75,DE KALB,-0.794925965538421,-0.1695698353554358,1.1703088360416622,-0.1492255573301002,-1.7328768326395958,0.219319452604703,0.0,0.0,1.2420984486777142,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,147.245
