,County,AWS,Representative_Non-Irrigated_Yield,cec7_l,ksat_l,awc_l,ph1to1h2o_l,ec_l,ec_r,ec_h,"soil_type_Coarse-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Coarse-loamy, mixed, superactive, mesic Mollic Hapludalfs","soil_type_Euic, mesic Typic Haplosaprists","soil_type_Fine, illitic, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aeric Epiaqualfs","soil_type_Fine, mixed, active, mesic Aquultic Hapludalfs","soil_type_Fine, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Argiudolls","soil_type_Fine-loamy, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-loamy, mixed, active, mesic Typic Hapludalfs","soil_type_Fine-loamy, mixed, superactive, mesic Aquic Argiudolls","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Fragiudalfs","soil_type_Fine-silty, mixed, active, mesic Oxyaquic Hapludalfs","soil_type_Fine-silty, mixed, active, mesic Ultic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Typic Argiaquolls","soil_type_Fine-silty, mixed, superactive, mesic Typic Hapludalfs","soil_type_Fine-silty, mixed, superactive, mesic Ultic Hapludalfs","soil_type_Loamy, mixed, active, mesic Arenic Hapludalfs","soil_type_Mixed, mesic Aquic Udipsamments","soil_type_Mixed, mesic Typic Udipsamments","soil_type_Sandy, mixed, mesic Typic Endoaquolls",Drainage_Somewhat poorly drained,Drainage_Very poorly drained,Drainage_Well drained,texture_primary_Loam,texture_primary_Loamy sand,texture_primary_Sand,texture_primary_Sandy loam,texture_primary_Silt loam,texture_primary_Silty clay loam,texture_secondary_L,texture_secondary_LS,texture_secondary_S,texture_secondary_SICL,texture_secondary_SIL,rvindicator_tex_Yes,RoadwayRelevanceSoilGrade_A-4,RoadwayRelevanceSoilGrade_A-6,HumanErosion_Sheet erosion,HumanErosion_Wind erosion,MoisterClass_Udic,Drainage_class_Somewhat poorly drained,Drainage_class_Very poorly drained,Drainage_class_Well drained,Value
10,CLINTON,1.6339253636207234,0.6198652076581161,0.068618353465647,0.1303783161441755,-0.4379351685713027,0.2617004387211064,0.0,0.0,1.3374261523122188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,182.57999999999998
11,CARROLL,0.4976045803663479,0.0219242653186744,0.4530695996197938,0.6335566901677846,-0.0216879827080173,0.2400333563004116,0.0,0.0,-0.1648256786241497,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,180.78
12,FAYETTE,1.3397119634155128,0.5996435801122094,0.0445256666600999,-0.0773465368982823,0.0377611872231052,0.0577570743006951,0.0,0.0,0.6646161310024156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,161.3
13,JENNINGS,0.6204733450420798,5.210210852562292,-0.5119589090870122,-0.6682044939667026,0.5686724242053524,-0.8326523458568154,0.0,0.0,-0.7970850878359449,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,149.12857142857143
14,KNOX,-1.4228016969171169,0.1723083250899752,0.242173462383706,-0.0907505576455874,1.673948846387987,-0.2913037577281895,0.0,7.0638736263736375,-0.3303470791435098,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,165.6263157894737
15,JEFFERSON,0.0782398574816964,5.724994481042841,-0.218751856444195,-0.7597450235290754,0.3402624509122885,-0.9227367013798696,0.0,0.0,-0.5509810877072644,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,144.1
16,BROWN,0.626000799809084,3.212585135213309,-0.6350208762806783,-0.6736148569230408,0.4911018259341096,-0.9495735808498984,0.0,0.0,-0.867073660637088,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,121.85
17,CRAWFORD,-0.6914391264000357,0.8419203333198189,-0.1152490424864195,-0.640451816368832,-0.0299014324939582,-1.2721880375519554,0.0,0.0,-1.7222480467494186,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,131.35000000000002
18,FULTON,-1.603575621920903,-0.1514262868985346,1.8282863928669488,1.3707495619957797,-0.0051516047750166,-0.0279771868577829,0.0,2.563439111908499,-0.0203143271753132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,163.39000000000001
19,KOSCIUSKO,-2.1865473047824526,-0.1745577883639857,0.7555831323116546,1.4158000946313152,-0.6301680845077989,0.1532442908454634,0.0,0.9167041137301346,-0.6040949947055851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,161.84761904761905
20,JACKSON,-0.6913790901298588,3.0251531231913056,-0.623799160602289,-0.3234254856233671,0.2905460927196227,-0.9104942440269276,0.0,0.0,-1.1280583899899217,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,143.43157894736842
21,FRANKLIN,-0.5241823309439919,1.1668373376017418,0.0557427763762736,-0.1704385476469864,-0.7684352002681847,-0.122208388671111,0.0,0.0,1.2055436437319758,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,156.95714285714286
22,LA PORTE,1.5493994731403162,-0.3052891416665161,2.4892647693159238,0.8962314794713543,1.439448756970741,-0.1423147416500002,0.0002865329512893,6.701387795585513,0.1394123755396966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,151.28095238095239
